name,description,category,price,stock
Headphones,High-quality headphones with noise-canceling feature,Electronics,$100.00 ,50
Wallet,Premium leather wallet with multiple card slots,Fashion,$286.00 ,25
Water Bottle,Durable stainless steel water bottle with leak-proof cap,Home & Kitchen,$19.99 ,100
T-Shirt,Soft and comfortable cotton t-shirt in various colors,Fashion,$14.99 ,75
Bluetooth Speaker,Lightweight and portable Bluetooth speaker with built-in microphone,Electronics,$59.99 ,40
Sunglasses,Stylish sunglasses with UV protection,Fashion,$29.99 ,60
Camera,Compact digital camera with high-resolution image capture,Electronics,$199.99 ,15
Food Processor,Versatile food processor with multiple attachments,Home & Kitchen,$149.99 ,30
Office Chair,Ergonomic office chair with adjustable height and lumbar support,Office Supplies,$149.99 ,20
Hair Dryer,Professional-grade hair dryer with multiple heat and speed settings,Beauty & Personal Care,$79.99 ,35
